San Angelo,['Angelo State University']
University,['University of Mississippi']
Medford,['Tufts University']
Los Altos Hills,['Foothill College']
Athens,"['University of Georgia', 'Concord University', 'Athens State University', 'Tennessee Wesleyan College', 'Athens Technical College']"
Union,"['Kean University', 'East Central College']"
Jackson,"['Jackson College', 'Jackson State University', 'Union University', 'Jackson State Community College', 'Millsaps College', 'Belhaven University']"
Tuscaloosa,"['The University of Alabama', 'Shelton State Community College', 'Stillman College']"
Lansing,['Lansing Community College']
Hobbs,['New Mexico Junior College']
Carrollton,['University of West Georgia']
Parkville,['Park University']
Nacogdoches,['Stephen F Austin State University']
Albany,"['Excelsior College', 'Linn-Benton Community College', 'SUNY at Albany', 'Albany State University', 'The College of Saint Rose', 'Darton State College', 'Albany Law School', 'Albany College of Pharmacy and Health Sciences']"
Galveston,['Galveston College']
Seattle,"['North Seattle College', 'University of Washington-Seattle Campus', 'Seattle University', 'Seattle Central College', 'South Seattle College', 'Seattle Pacific University', 'Cornish College of the Arts', 'City University of Seattle']"
Houston,"['Houston Community College', 'Texas Southern University', 'Rice University', 'Houston Graduate School of Theology', 'University of Houston-Clear Lake', 'University of Houston-Downtown', 'University of St Thomas-Houston', 'Houston Baptist University', 'South Texas College of Law', 'Baylor College of Medicine']"
Commerce,['Texas A & M University-Commerce']
College Park,['University of Maryland-College Park']
Clemson,['Clemson University']
Waltham,"['Brandeis University', 'Bentley University']"
Missoula,['The University of Montana']
Bowling Green,"['Western Kentucky University', 'Bowling Green State University-Main Campus']"
Provo,['Brigham Young University-Provo']
Denver,"['University of Denver', 'University of Colorado Denver', 'Regis University', 'Metropolitan State University of Denver', 'Community College of Denver', 'Iliff School of Theology']"
Kaneohe,['Windward Community College']
Adelphi,['University of Maryland-University College']
Santa Rosa,['Santa Rosa Junior College']
Okmulgee,['Oklahoma State University Institute of Technology']
Los Angeles,"['University of Southern California', 'California State University-Los Angeles', 'Loyola Marymount University', 'University of California-Los Angeles', 'Los Angeles Southwest College', 'Occidental College', 'Los Angeles Trade Technical College', 'Los Angeles City College', ""Mount Saint Mary's University"", 'Otis College of Art and Design']"
Levelland,['South Plains College']
Waco,"['McLennan Community College', 'Baylor University']"
San Jose,"['San Jose State University', 'San Jose City College', 'Evergreen Valley College', 'International Technological University']"
Detroit,"['Wayne State University', 'University of Detroit Mercy', 'Marygrove College', 'Wayne County Community College District', 'College for Creative Studies']"
San Antonio,"['The University of Texas at San Antonio', 'Trinity University', 'University of the Incarnate Word', 'Our Lady of the Lake University', ""St Mary's University""]"
Laredo,"['Laredo Community College', 'Texas A & M International University']"
Orlando,"['Valencia College', 'University of Central Florida', 'Adventist University of Health Sciences']"
Bellevue,"['Bellevue College', 'Bellevue University']"
Tyler,"['The University of Texas at Tyler', 'Tyler Junior College', 'Texas College']"
Powell,['Northwest College']
Chicago,"['University of Illinois at Chicago', 'Loyola University Chicago', 'DePaul University', 'University of Chicago', 'Columbia College-Chicago', 'North Park University', 'Northeastern Illinois University', 'National Louis University', 'Institute for Clinical Social Work', 'Illinois Institute of Technology', 'School of the Art Institute of Chicago', 'Roosevelt University', 'Meadville Lombard Theological School', 'McCormick Theological Seminary', 'Saint Xavier University', 'Lutheran School of Theology at Chicago', 'Chicago State University', 'American Academy of Art', 'East-West University', 'Adler University', 'MacCormac College', 'Shimer College', 'VanderCook College of Music', 'Catholic Theological Union at Chicago']"
Wilkes-Barre,"['Wilkes University', ""King's College-Wilkes-Barre""]"
Saratoga Springs,"['Skidmore College', 'SUNY Empire State College']"
Evansville,"['University of Evansville', 'University of Southern Indiana']"
Imperial,['Imperial Valley College']
Charlotte,"['University of North Carolina at Charlotte', 'Central Piedmont Community College', 'Queens University of Charlotte']"
New Orleans,"['Loyola University New Orleans', 'University of New Orleans', 'Tulane University of Louisiana', 'New Orleans Baptist Theological Seminary', 'Xavier University of Louisiana', 'Delgado Community College', 'University of Holy Cross']"
Huntsville,"['Sam Houston State University', 'University of Alabama in Huntsville', 'Oakwood University', 'J F Drake State Community and Technical College']"
Burbank,['Woodbury University']
Denton,"['University of North Texas', ""Texas Woman's University""]"
San Marcos,"['Texas State University', 'California State University-San Marcos']"
Austin,"['The University of Texas at Austin', 'Austin Graduate School of Theology', ""Saint Edward's University"", 'Concordia University-Texas', 'Austin Presbyterian Theological Seminary', 'Riverland Community College']"
Des Plaines,['Oakton Community College']
Akron,['University of Akron Main Campus']
Azusa,['Azusa Pacific University']
La Jolla,"['University of California-San Diego', 'National University']"
Irvine,"['University of California-Irvine', 'Irvine Valley College', 'Concordia University-Irvine']"
Richardson,['The University of Texas at Dallas']
Richmond,"['Virginia Commonwealth University', 'Earlham College', 'Eastern Kentucky University', 'J Sargeant Reynolds Community College', 'Virginia Union University', 'Indiana University-East']"
Oberlin,['Oberlin College']
Amarillo,['Amarillo College']
Tampa,"['University of South Florida-Main Campus', 'Hillsborough Community College', 'The University of Tampa']"
Susanville,['Lassen Community College']
Beaufort,['Technical College of the Lowcountry']
Fairfax,"['George Mason University', 'Stratford University']"
Canyon,['West Texas A & M University']
Springfield,"['Clark State Community College', 'Springfield Technical Community College', 'Wittenberg University', 'Missouri State University-Springfield', 'Evangel University', 'University of Illinois at Springfield', 'Ozarks Technical Community College', 'Forest Institute of Professional Psychology', 'Drury University', 'Western New England University', 'Lincoln Land Community College', 'American International College']"
Champaign,"['University of Illinois at Urbana-Champaign', 'Parkland College']"
Bennington,['Bennington College']
Godfrey,['Lewis and Clark Community College']
Wichita Falls,['Midwestern State University']
Baltimore,"['Johns Hopkins University', 'Goucher College', 'University of Maryland-Baltimore County', 'University of Baltimore', 'The Community College of Baltimore County', 'Maryland Institute College of Art', 'Loyola University Maryland', 'Notre Dame of Maryland University', 'Baltimore City Community College', 'University of Maryland-Baltimore', 'Coppin State University', 'Morgan State University']"
Normal,"['Illinois State University', 'Alabama A & M University', 'Heartland Community College']"
Alvin,['Alvin Community College']
Lake Worth,['Palm Beach State College']
Ellisville,['Jones County Junior College']
Gainesville,"['University of Florida', 'Santa Fe College', 'North Central Texas College', 'Brenau University']"
Culver City,['West Los Angeles College']
McKinney,['Collin County Community College District']
Coeur d'Alene,['North Idaho College']
Searcy,['Harding University']
Washington,"['George Washington University', 'American University', 'Howard University', 'Georgetown University', 'Catholic University of America', 'University of the District of Columbia', 'Gallaudet University', 'Washington & Jefferson College', 'Trinity Washington University']"
Syracuse,"['Le Moyne College', 'Syracuse University', 'Onondaga Community College', 'SUNY College of Environmental Science and Forestry', 'Upstate Medical University']"
Fort Lauderdale,"['Nova Southeastern University', 'Broward College', 'Keiser University-Ft Lauderdale']"
East Lansing,['Michigan State University']
Knoxville,"['The University of Tennessee-Knoxville', 'Pellissippi State Community College']"
West Windsor,['Mercer County Community College']
Charleston,"['College of Charleston', 'Eastern Illinois University', 'Medical University of South Carolina', 'Charleston School of Law', 'Trident Technical College', 'Charleston Southern University']"
Santa Monica,"['Santa Monica College', ""Emperor's College of Traditional Oriental Medicine""]"
Scranton,"['Lackawanna College', 'University of Scranton', 'Marywood University']"
Elko,['Great Basin College']
Casper,['Casper College']
Cleveland,"['Cleveland State University', 'Delta State University', 'Cleveland State Community College', 'Case Western Reserve University', 'Lee University', 'Lakeshore Technical College', 'Cuyahoga Community College District', 'Truett-McConnell College']"
Milwaukee,"['University of Wisconsin-Milwaukee', 'Marquette University', 'Milwaukee School of Engineering', 'Milwaukee Area Technical College', 'Cardinal Stritch University', 'Medical College of Wisconsin', 'Mount Mary University', 'Alverno College', 'Wisconsin Lutheran College']"
College Station,['Texas A & M University-College Station']
Coral Gables,['University of Miami']
Tucson,"['University of Arizona', 'Pima Community College']"
Ann Arbor,"['University of Michigan-Ann Arbor', 'Washtenaw Community College', 'Concordia University-Ann Arbor']"
Texas City,['College of the Mainland']
Latrobe,['Saint Vincent College']
Rohnert Park,['Sonoma State University']
Berrien Springs,['Andrews University']
Stony Brook,['Stony Brook University']
Mount Pleasant,"['Northeast Texas Community College', 'Central Michigan University']"
Abilene,"['Abilene Christian University', 'McMurry University', 'Hardin-Simmons University']"
Saint George,['Dixie State University']
Brainerd,['Central Lakes College-Brainerd']
Johnson City,['East Tennessee State University']
Durham,"['University of New Hampshire-Main Campus', 'Duke University', 'North Carolina Central University']"
Southfield,['Lawrence Technological University']
Victoria,"['Victoria College', 'University of Houston-Victoria']"
Salem,"['Willamette University', 'Roanoke College', 'Chemeketa Community College', 'Salem State University', 'Corban University']"
Iowa City,['University of Iowa']
Salisbury,"['Salisbury University', 'Catawba College', 'Wor-Wic Community College']"
Allendale,['Grand Valley State University']
Honolulu,"['Chaminade University of Honolulu', 'University of Hawaii at Manoa', 'Hawaii Pacific University', 'Kapiolani Community College', 'Honolulu Community College']"
Tulsa,"['Oral Roberts University', 'Tulsa Community College', 'University of Tulsa', 'Phillips Theological Seminary']"
Pittsburgh,"['Carnegie Mellon University', 'University of Pittsburgh-Pittsburgh Campus', 'Chatham University', 'La Roche College', 'Point Park University', 'Duquesne University', 'Community College of Allegheny County', 'Pittsburgh Theological Seminary', 'Carlow University']"
Lawrence,['University of Kansas']
Madison,"['University of Wisconsin-Madison', 'Drew University', 'University of Wisconsin Colleges', 'Madison Area Technical College', 'Dakota State University', 'Edgewood College', 'North Florida Community College']"
Cupertino,['De Anza College']
Kingston,['University of Rhode Island']
Pittsburg,"['Pittsburg State University', 'Los Medanos College']"
Brevard,['Brevard College']
Santa Clara,"['Santa Clara University', 'Mission College']"
New York,"['Barnard College', 'CUNY City College', 'CUNY Borough of Manhattan Community College', 'Columbia University in the City of New York', 'The New School', 'Touro College', 'CUNY John Jay College of Criminal Justice', 'CUNY Hunter College', 'CUNY Graduate School and University Center', 'CUNY Bernard M Baruch College', 'Yeshiva University', 'New York Law School', 'Pace University-New York', 'Cooper Union for the Advancement of Science and Art', 'Marymount Manhattan College', 'Icahn School of Medicine at Mount Sinai', 'New York Academy of Art', 'Technical Career Institutes', 'Metropolitan College of New York', 'Rockefeller University', 'Jewish Theological Seminary of America', 'Bank Street College of Education', 'School of Visual Arts']"
Clarendon,['Clarendon College']
Bethlehem,"['Lehigh University', 'Moravian College', 'Northampton County Area Community College']"
Chapel Hill,['University of North Carolina at Chapel Hill']
Tallahassee,"['Florida State University', 'Florida Agricultural and Mechanical University', 'Tallahassee Community College']"
Wilmington,"['University of North Carolina Wilmington', 'Los Angeles Harbor College', 'Cape Fear Community College', 'Goldey-Beacom College']"
Cambridge,"['Massachusetts Institute of Technology', 'Harvard University', 'Longy School of Music of Bard College', 'Lesley University', 'Cambridge College', 'Episcopal Divinity School']"
Marylhurst,['Marylhurst University']
Reedley,['Reedley College']
Lincroft,['Brookdale Community College']
Corvallis,['Oregon State University']
Ames,['Iowa State University']
Florence,"['Florence-Darlington Technical College', 'University of North Alabama', 'Francis Marion University']"
Rochester Hills,['Oakland University']
Arlington,"['The University of Texas at Arlington', 'Marymount University']"
Atlanta,"['Emory University', 'Georgia State University', 'Georgia Institute of Technology-Main Campus', 'Morehouse College', 'Spelman College', 'Atlanta Metropolitan State College', 'Clark Atlanta University', 'Oglethorpe University', ""Atlanta's John Marshall Law School"", 'Morehouse School of Medicine']"
Grand Rapids,"['Calvin College', 'Cornerstone University', 'Grand Rapids Community College', 'Calvin Theological Seminary', 'Itasca Community College', 'Aquinas College-Grand Rapids']"
Rome,"['Georgia Highlands College', 'Georgia Northwestern Technical College']"
South Portland,['Southern Maine Community College']
Princeton,"['Princeton University', 'Princeton Theological Seminary']"
Memphis,"['University of Memphis', 'Rhodes College', 'Southwest Tennessee Community College', 'Christian Brothers University', 'Memphis Theological Seminary', 'Le Moyne-Owen College', 'Memphis College of Art']"
Las Vegas,"['University of Nevada-Las Vegas', 'College of Southern Nevada', 'New Mexico Highlands University']"
Pomona,"['California State Polytechnic University-Pomona', 'Western University of Health Sciences']"
Bronx,"['Fordham University', 'CUNY Lehman College', 'CUNY Bronx Community College', 'CUNY Hostos Community College', 'College of Mount Saint Vincent']"
Westfield,['Westfield State University']
Montreat,['Montreat College']
Newark,"['New Jersey Institute of Technology', 'University of Delaware', 'Essex County College', 'Central Ohio Technical College', 'Rutgers University-Newark']"
Saint Louis,"['University of Missouri-St Louis', 'Washington University in St Louis', 'Saint Louis University', 'Maryville University of Saint Louis', 'Harris-Stowe State University', 'Missouri Baptist University', 'Fontbonne University', 'St Louis College of Pharmacy', 'Covenant Theological Seminary', 'Aquinas Institute of Theology']"
Gambier,['Kenyon College']
Bloomington,"['Indiana University-Bloomington', 'Illinois Wesleyan University', 'Normandale Community College', 'Northwestern Health Sciences University']"
Evanston,"['Northwestern University', 'Garrett-Evangelical Theological Seminary']"
Poplarville,['Pearl River Community College']
Chestnut Hill,"['Boston College', 'Pine Manor College']"
Ithaca,"['Cornell University', 'Ithaca College']"
Beaumont,['Lamar University']
Morgantown,['West Virginia University']
Ridgecrest,['Cerro Coso Community College']
Youngstown,['Youngstown State University']
Northfield,"['Carleton College', 'St Olaf College', 'Norwich University']"
Boulder,"['University of Colorado Boulder', 'Naropa University']"
Fort Wayne,"['Indiana University-Purdue University-Fort Wayne', 'University of Saint Francis-Fort Wayne']"
Orange,"['Lamar State College-Orange', 'Chapman University', 'Santiago Canyon College']"
Blacksburg,"['Virginia Polytechnic Institute and State University', 'Edward Via College of Osteopathic Medicine']"
El Paso,"['El Paso Community College', 'The University of Texas at El Paso']"
Claremont,"['Harvey Mudd College', 'Pomona College', 'Pitzer College', 'Claremont Graduate University', 'Claremont McKenna College', 'Scripps College']"
Incline Village,['Sierra Nevada College']
Boston,"['Simmons College', 'Suffolk University', 'University of Massachusetts-Boston', 'Berklee College of Music', 'Wentworth Institute of Technology', 'Massachusetts College of Art and Design', 'New England Law-Boston', 'Boston Architectural College', 'MCPHS University', 'Bunker Hill Community College', 'School of the Museum of Fine Arts-Boston', 'Emerson College', 'Urban College of Boston', 'Wheelock College', 'Emmanuel College-Boston', 'The Boston Conservatory']"
The Woodlands,['Lone Star College System']
Portland,"['Portland State University', 'Portland Community College', 'Lewis & Clark College', 'University of Southern Maine', 'Multnomah University', 'Reed College', 'Oregon Health & Science University', 'University of Portland', 'University of Western States', 'Pacific Northwest College of Art', 'Concordia University-Portland', 'National College of Natural Medicine']"
Williamstown,['Williams College']
North Dartmouth,['University of Massachusetts-Dartmouth']
Eureka,"['College of the Redwoods', 'Eureka College']"
Danville,"['Danville Community College', 'Danville Area Community College', 'Centre College']"
Sacramento,"['California State University-Sacramento', 'Cosumnes River College', 'Sacramento City College', 'American River College']"
Whitewater,['University of Wisconsin-Whitewater']
Marianna,['Chipola College']
Geneseo,['SUNY College at Geneseo']
Columbia,"['University of South Carolina-Columbia', 'University of Missouri-Columbia', 'Columbia International University', 'Benedict College', 'Columbia College-Columbia', 'Columbia State Community College', 'Lindsey Wilson College', 'Howard Community College']"
Brenham,['Blinn College']
Liberal,['Seward County Community College and Area Technical School']
Louisville,"['University of Louisville', 'Louisville Presbyterian Theological Seminary', 'Bellarmine University', 'Spalding University', 'Sullivan University']"
Hanover,"['Dartmouth College', 'Hanover College']"
Lubbock,"['Texas Tech University', 'Texas Tech University Health Sciences Center']"
Niceville,['Northwest Florida State College']
Conway,"['University of Central Arkansas', 'Hendrix College', 'Coastal Carolina University']"
Mission Viejo,['Saddleback College']
Odessa,"['The University of Texas of the Permian Basin', 'Odessa College']"
Santa Barbara,"['Santa Barbara City College', 'Westmont College', 'University of California-Santa Barbara']"
Berkeley,"['University of California-Berkeley', 'Berkeley City College', 'Church Divinity School of the Pacific', 'Pacific School of Religion']"
Yuma,['Arizona Western College']
Crookston,['University of Minnesota-Crookston']
Columbus,"['Ohio State University-Main Campus', 'Columbus State University', 'Columbus State Community College', 'Mississippi University for Women', 'Capital University', 'Pontifical College Josephinum', 'Ohio Dominican University', 'Franklin University']"
Milledgeville,['Georgia College and State University']
Alpine,['Sul Ross State University']
Winter Park,"['Rollins College', 'Full Sail University']"
Houghton,"['Michigan Technological University', 'Houghton College']"
Notre Dame,"['University of Notre Dame', ""Saint Mary's College"", 'Holy Cross College']"
Silver City,['Western New Mexico University']
Albuquerque,"['University of New Mexico-Main Campus', 'Central New Mexico Community College']"
Greensboro,"['University of North Carolina at Greensboro', 'Greensboro College', 'North Carolina A & T State University', 'Guilford College']"
Vernon,['Vernon College']
Cincinnati,"['University of Cincinnati-Main Campus', 'Mount Saint Joseph University', 'Cincinnati State Technical and Community College', 'Xavier University', 'Cincinnati Christian University']"
Winfield,['Southwestern College-Winfield']
Cedar City,['Southern Utah University']
Providence,"['Brown University', 'Rhode Island College', 'Rhode Island School of Design', 'Providence College']"
Philadelphia,"['Temple University', 'Drexel University', 'Community College of Philadelphia', 'The University of the Arts', 'Philadelphia University', ""Saint Joseph's University"", 'La Salle University', 'The Restaurant School at Walnut Hill College', 'Thomas Jefferson University', 'Chestnut Hill College', 'Peirce College', 'Holy Family University']"
Glenwood Springs,['Colorado Mountain College']
Prairie View,['Prairie View A & M University']
Auburn University,['Auburn University']
Fullerton,"['Western State College of Law at Argosy University', 'California State University-Fullerton', 'Fullerton College', 'Hope International University']"
Fairbanks,['University of Alaska Fairbanks']
Juneau,['University of Alaska Southeast']
Twin Falls,['College of Southern Idaho']
Laramie,['University of Wyoming']
University Park,['Governors State University']
Kilgore,['Kilgore College']
Kansas City,"['Kansas City Kansas Community College', 'University of Missouri-Kansas City', 'Calvary Bible College and Theological Seminary', 'Avila University', 'Rockhurst University', 'Kansas City Art Institute', 'Midwestern Baptist Theological Seminary']"
Fort Myers,"['Florida Gulf Coast University', 'Florida SouthWestern State College']"
Boise,['Boise State University']
Nelsonville,['Hocking College']
Brockport,['SUNY College at Brockport']
Rock Hill,"['York Technical College', 'Winthrop University']"
Macomb,['Western Illinois University']
Baton Rouge,"['Louisiana State University and Agricultural & Mechanical College', 'Southern University and A & M College', 'Our Lady of the Lake College']"
McAllen,['South Texas College']
Morrow,['Clayton State University']
Farmville,['Longwood University']
Spokane,['Gonzaga University']
Lufkin,['Angelina College']
Rochester,"['University of Rochester', 'Rochester Institute of Technology', 'Monroe Community College', ""St Bernard's School of Theology and Ministry"", 'University of Minnesota-Rochester', 'Saint John Fisher College', 'Nazareth College', 'Roberts Wesleyan College']"
Bel Air,['Harford Community College']
Clovis,['Clovis Community College']
Worcester,"['Worcester Polytechnic Institute', 'College of the Holy Cross', 'Quinsigamond Community College', 'Worcester State University', 'Clark University', 'University of Massachusetts Medical School Worcester', 'Assumption College', 'Becker College']"
Lexington,"['University of Kentucky', 'Washington and Lee University', 'Virginia Military Institute', 'Transylvania University', 'Lexington Theological Seminary']"
Presque Isle,['University of Maine at Presque Isle']
New Wilmington,['Westminster College-New Wilmington']
Minneapolis,"['Augsburg College', 'Walden University', 'Minneapolis College of Art and Design', 'Dunwoody College of Technology']"
Roanoke,"['Virginia Western Community College', 'Hollins University']"
Harrisonburg,"['James Madison University', 'Eastern Mennonite University']"
Edmond,"['University of Central Oklahoma', 'Oklahoma Christian University']"
Pullman,['Washington State University']
Miami,"['Barry University', 'Florida International University', 'Miami Dade College']"
Bainbridge,['Bainbridge State College']
Sylmar,['Los Angeles Mission College']
San Francisco,"['San Francisco State University', 'University of San Francisco', 'City College of San Francisco', 'Academy of Art University', 'University of California-Hastings College of Law', 'California Institute of Integral Studies', 'Golden Gate University-San Francisco', 'University of California-San Francisco', 'San Francisco Art Institute']"
Rocklin,"['Sierra College', 'William Jessup University']"
Valdosta,['Valdosta State University']
Rancho Cucamonga,['Chaffey College']
Killeen,['Central Texas College']
Tempe,['Rio Salado College']
Ellensburg,['Central Washington University']
Fargo,['North Dakota State University-Main Campus']
Rapid City,['South Dakota School of Mines and Technology']
Carbondale,['Southern Illinois University-Carbondale']
Texarkana,"['Texarkana College', 'Texas A & M University-Texarkana']"
Burlington,"['University of Vermont', 'Champlain College']"
Chattanooga,"['The University of Tennessee-Chattanooga', 'Chattanooga State Community College']"
Saint Leo,['Saint Leo University']
Murray,['Murray State University']
Pemberton,['Rowan College at Burlington County']
Meridian,['Meridian Community College']
Winston Salem,['Wake Forest University']
Mansfield,"['North Central State College', 'Mansfield University of Pennsylvania', 'Ohio State University-Mansfield Campus']"
Oshkosh,['University of Wisconsin-Oshkosh']
Grinnell,['Grinnell College']
New Paltz,['State University of New York at New Paltz']
Arcata,['Humboldt State University']
Little Rock,"['University of Arkansas at Little Rock', 'University of Arkansas for Medical Sciences']"
Salt Lake City,"['University of Utah', 'Salt Lake Community College', 'Westminster College-Salt Lake City', 'Western Governors University', 'Neumont University']"
Pasadena,"['California Institute of Technology', 'Pasadena City College', 'San Jacinto Community College', 'Art Center College of Design', 'Pacific Oaks College']"
Shippensburg,['Shippensburg University of Pennsylvania']
Kutztown,['Kutztown University of Pennsylvania']
