TX,"['Angelo State University', 'Stephen F Austin State University', 'Galveston College', 'Houston Community College', 'Texas A & M University-Commerce', 'South Plains College', 'McLennan Community College', 'The University of Texas at San Antonio', 'Laredo Community College', 'Texas A & M International University', 'The University of Texas at Tyler', 'Tyler Junior College', 'Sam Houston State University', 'University of North Texas', 'Texas State University', 'The University of Texas at Austin', 'The University of Texas at Dallas', 'Amarillo College', 'West Texas A & M University', 'Midwestern State University', 'Alvin Community College', 'Midland College', 'Collin County Community College District', 'Angelina College', 'Texas A & M University-College Station', 'College of the Mainland', 'Kilgore College', 'Northeast Texas Community College', 'Abilene Christian University', 'Victoria College', 'Texas Tech University', 'Clarendon College', 'The University of Texas at Arlington', 'Lamar University', 'Texas Southern University', 'Rice University', 'Lamar State College-Orange', 'El Paso Community College', 'Lone Star College System', 'Blinn College', 'The University of Texas of the Permian Basin', 'Odessa College', 'Sul Ross State University', 'Vernon College', 'Prairie View A & M University', 'The University of Texas at El Paso', 'North Central Texas College', 'South Texas College', 'Tarrant County College District', 'San Jacinto Community College', 'University of Houston-Clear Lake', 'Central Texas College', 'Texarkana College', 'Coastal Bend College', 'Texas A & M University-Corpus Christi', 'Brazosport College', 'Panola College', 'Ranger College', 'Lamar State College-Port Arthur', 'Texas Tech University Health Sciences Center', 'Southern Methodist University', 'Texas Christian University', 'Western Texas College', 'Houston Graduate School of Theology', 'Trinity University', 'Southwestern University', 'Wayland Baptist University', 'Wharton County Junior College', 'Frank Phillips College', ""Texas Woman's University"", 'McMurry University', 'Baylor University', 'Tarleton State University', 'Southwestern Adventist University', 'Texas Wesleyan University', 'Amberton University', 'Del Mar College', 'University of Dallas', ""St Mary's University"", 'Temple College', 'University of Houston-Downtown', 'Cisco College', 'University of the Incarnate Word', 'University of St Thomas-Houston', 'Navarro College', 'Texas A & M University-Kingsville', 'Texas A & M University-Texarkana', ""Saint Edward's University"", 'Bakke Graduate University', 'Houston Baptist University', 'University of North Texas Health Science Center', 'Weatherford College', 'Austin Presbyterian Theological Seminary', 'Texas Lutheran University', 'Hill College', 'Baylor College of Medicine', 'University of Mary Hardin-Baylor', 'Austin Graduate School of Theology', 'Our Lady of the Lake University', 'Grayson College', 'Schreiner University', 'Austin College', 'LeTourneau University', 'Dallas Baptist University', 'Concordia University-Texas', 'University of Houston-Victoria', 'Southwestern Assemblies of God University', 'Paris Junior College', 'South Texas College of Law', 'Lubbock Christian University', 'Hardin-Simmons University', 'East Texas Baptist University', 'Jacksonville College-Main Campus', 'Texas College', 'Howard Payne University', 'Southwest Texas Junior College', 'Lee College', 'Cedar Valley College', 'Dallas Christian College']"
MS,"['University of Mississippi', 'Jones County Junior College', 'Southwest Mississippi Community College', 'Pearl River Community College', 'Meridian Community College', 'Mississippi State University', 'Mississippi Delta Community College', 'Itawamba Community College', 'Hinds Community College', 'Mississippi College', 'Jackson State University', 'University of Southern Mississippi', 'Northwest Mississippi Community College', 'Copiah-Lincoln Community College', 'William Carey University', 'Mississippi Gulf Coast Community College', 'Delta State University', 'East Central Community College', 'Coahoma Community College', 'Mississippi University for Women', 'Millsaps College', 'Mississippi Valley State University', 'Northeast Mississippi Community College', 'Alcorn State University', 'Belhaven University', 'Rust College', 'Holmes Community College']"
MA,"['Tufts University', 'Brandeis University', 'University of Massachusetts-Amherst', 'Massachusetts Institute of Technology', 'Harvard University', 'Westfield State University', 'Boston College', 'Simmons College', 'Williams College', 'University of Massachusetts-Dartmouth', 'Worcester Polytechnic Institute', 'Suffolk University', 'University of Massachusetts-Boston', 'Mount Wachusett Community College', 'Cape Cod Community College', 'Springfield Technical Community College', 'Salem State University', 'Hampshire College', 'University of Massachusetts-Lowell', 'Bridgewater State University', 'Stonehill College', 'Mount Holyoke College', 'Massachusetts College of Art and Design', 'Amherst College', 'College of the Holy Cross', 'Hebrew College', 'Bentley University', 'Berklee College of Music', 'Northern Essex Community College', 'Clark University', 'Gordon College', 'Wheaton College-Norton', 'Babson College', 'Wellesley College', 'Wentworth Institute of Technology', 'Massachusetts School of Law', 'Eastern Nazarene College', 'Bristol Community College', 'Smith College', 'Roxbury Community College', 'Franklin W Olin College of Engineering', 'Framingham State University', 'Anna Maria College', 'Episcopal Divinity School', 'North Shore Community College', 'Quinsigamond Community College', 'Lesley University', 'Worcester State University', 'Massasoit Community College', 'New England Law-Boston', 'Greenfield Community College', 'Mount Ida College', 'Massachusetts College of Liberal Arts', 'Regis College', 'Curry College', 'Boston Architectural College', 'MCPHS University', 'Emmanuel College-Boston', 'Bunker Hill Community College', ""Bard College at Simon's Rock"", 'University of Massachusetts Medical School Worcester', 'School of the Museum of Fine Arts-Boston', 'Andover Newton Theological School', 'Holyoke Community College', 'Merrimack College', 'Pine Manor College', 'Nichols College', 'Longy School of Music of Bard College', 'Endicott College', 'Quincy College', 'Emerson College', 'Berkshire Community College', 'Massachusetts Bay Community College', 'Cambridge College', 'Western New England University', 'Assumption College', 'Fitchburg State University', 'Urban College of Boston', 'Massachusetts Maritime Academy', 'Newbury College', 'Wheelock College', 'Dean College', 'College of Our Lady of the Elms', 'Bay Path University', 'American International College', 'Becker College', 'The Boston Conservatory']"
CA,"['Foothill College', 'Santa Rosa Junior College', 'University of Southern California', 'San Jose State University', 'Imperial Valley College', 'Woodbury University', 'Azusa Pacific University', 'University of California-San Diego', 'University of California-Irvine', 'Lassen Community College', 'West Los Angeles College', 'Santa Monica College', 'California Polytechnic State University-San Luis Obispo', 'Sonoma State University', 'Stanford University', 'De Anza College', 'Santa Clara University', 'Reedley College', 'California State Polytechnic University-Pomona', 'San Diego State University', 'California State University-San Bernardino', 'California State University-San Marcos', 'Cerro Coso Community College', 'Harvey Mudd College', 'College of the Redwoods', 'California State University-Sacramento', 'Pomona College', 'Saddleback College', 'Santa Barbara City College', 'University of California-Berkeley', 'Westmont College', 'Western State College of Law at Argosy University', 'University of California-Santa Barbara', 'Los Angeles Mission College', 'San Francisco State University', 'Sierra College', 'California State University-Los Angeles', 'Chaffey College', 'Pepperdine University', 'Cerritos College', 'Humboldt State University', 'Academy of Art University', 'Loyola Marymount University', 'California Institute of Technology', 'Santa Ana College', 'University of California-Santa Cruz', 'Gavilan College', 'University of California-Los Angeles', 'College of the Canyons', 'El Camino Community College District', 'Chabot College', 'California State University-Long Beach', 'MiraCosta College', 'California State University-Bakersfield', 'University of San Francisco', 'University of San Diego', 'Lake Tahoe Community College', 'California State University-Dominguez Hills', 'University of California-Davis', 'Pasadena City College', 'California State University-Fullerton', 'Los Angeles Valley College', 'Napa Valley College', 'California State University-Northridge', 'Cosumnes River College', 'College of Marin', 'California State University-Chico', 'Sacramento City College', 'Contra Costa College', 'Naval Postgraduate School', 'Biola University', ""Emperor's College of Traditional Oriental Medicine"", 'Cypress College', 'Glendale Community College-Glendale', ""St John's Seminary"", 'California State University-Fresno', 'California State University-Channel Islands', 'Fresno Pacific University', 'La Sierra University', 'Point Loma Nazarene University', 'Rio Hondo College', 'Grossmont College', 'Diablo Valley College', 'Vanguard University of Southern California', 'Mt San Antonio College', 'Bakersfield College', 'Los Angeles Harbor College', 'University of Redlands', 'Chapman University', 'City College of San Francisco', 'Berkeley City College', 'University of California-Merced', 'Fullerton College', 'Riverside City College', ""Saint Mary's College of California"", 'Whittier College', 'University of California-Riverside', 'National University', 'Victor Valley College', 'Moorpark College', 'California State University-Stanislaus', 'Lincoln University-Oakland', 'Los Angeles Southwest College', 'Merritt College', 'Long Beach City College', 'San Diego City College', 'University of La Verne', 'East Los Angeles College', 'Ohlone College', 'College of the Siskiyous', 'University of California-San Francisco', 'California State University-East Bay', 'Notre Dame de Namur University', 'Occidental College', 'California Lutheran University', 'Coastline Community College', 'Mt San Jacinto Community College District', 'Folsom Lake College', 'Claremont Graduate University', 'Cuyamaca College', 'Pacific Union College', 'Los Angeles Trade Technical College', 'Canada College', 'College of the Sequoias', 'Merced College', 'Los Angeles City College', 'San Jose City College', 'Mills College', 'Pitzer College', 'Hartnell College', 'Cabrillo College', 'Claremont McKenna College', 'Modesto Junior College', 'Santiago Canyon College', 'Citrus College', 'Soka University of America', 'California Institute of Integral Studies', 'San Joaquin Delta College', 'Pacific Oaks College', 'Los Medanos College', 'Mission College', 'University of California-Hastings College of Law', 'Church Divinity School of the Pacific', 'Taft College', 'Monterey Institute of International Studies', 'Crafton Hills College', 'Antelope Valley College', 'Feather River Community College District', 'University of the Pacific', 'Las Positas College', 'American River College', 'Western University of Health Sciences', 'California Western School of Law', 'Irvine Valley College', 'Mendocino College', 'Solano Community College', ""Mount Saint Mary's University"", 'Dominican University of California', 'Cuesta College', 'Palo Verde College', 'Porterville College', 'Southwestern College-Chula Vista', 'California State University-Monterey Bay', 'Art Center College of Design', 'Monterey Peninsula College', 'Orange Coast College', 'Shasta College', 'Golden Gate University-San Francisco', 'Butte College', 'Newschool of Architecture and Design', 'College of the Desert', 'Norco College', 'California Baptist University', 'Allan Hancock College', 'Fresno City College', 'Evergreen Valley College', 'San Bernardino Valley College', 'Alliant International University-San Diego', 'Barstow Community College', 'Ventura College', 'John F. Kennedy University', 'Moreno Valley College', 'Laney College', 'Humphreys College-Stockton and Modesto Campuses', 'Marymount California University', 'Columbia College-Sonora', 'Otis College of Art and Design', 'William Jessup University', 'San Diego Mesa College', 'College of Alameda', 'International Technological University', 'Loma Linda University', 'Brooks Institute', 'Menlo College', 'Ashford University', 'Pacific School of Religion', 'Scripps College', 'California Institute of the Arts', 'San Francisco Art Institute', 'The California Maritime Academy', 'Cogswell College', 'Pacifica Graduate Institute', 'Concordia University-Irvine', 'Simpson University', 'San Francisco Theological Seminary', 'San Diego Miramar College', 'Trident University International', ""The Master's College and Seminary"", 'Skyline College', 'Westminster Theological Seminary in California', 'Hope International University', 'Touro University California', 'Saybrook University', 'Coleman University', 'Copper Mountain Community College', 'Holy Names University', 'Laguna College of Art and Design']"
GA,"['University of Georgia', 'University of West Georgia', 'Emory University', 'Georgia Highlands College', 'Georgia State University', 'Bainbridge State College', 'Georgia College and State University', 'Clayton State University', 'Valdosta State University', 'Georgia Institute of Technology-Main Campus', 'Columbus State University', 'Albany State University', 'Savannah College of Art and Design', 'Georgia Gwinnett College', 'Dalton State College', 'Mercer University', 'Georgia Southern University', 'Morehouse College', 'Piedmont College', 'Point University', 'Lanier Technical College', 'North Georgia Technical College', 'Abraham Baldwin Agricultural College', 'South Georgia Technical College', 'Darton State College', 'East Georgia State College', 'Agnes Scott College', 'Armstrong State University', 'Oglethorpe University', 'Gordon State College', 'Spelman College', 'Wesleyan College', 'Savannah Technical College', 'Chattahoochee Technical College', 'Paine College', 'Covenant College', 'Atlanta Metropolitan State College', 'Clark Atlanta University', 'Middle Georgia State College', 'Berry College', 'College of Coastal Georgia', 'Augusta Technical College', 'Georgia Southwestern State University', 'Brenau University', 'Brewton-Parker College', 'Toccoa Falls College', 'Savannah State University', 'Fort Valley State University', 'Athens Technical College', 'LaGrange College', ""Atlanta's John Marshall Law School"", 'Georgia Northwestern Technical College', 'Life University', 'Morehouse School of Medicine', 'Emmanuel College-Franklin Springs', 'Truett-McConnell College', 'Southeastern Technical College', 'Luther Rice University & Seminary', 'Albany Technical College', 'Gwinnett Technical College', 'Columbia Theological Seminary']"
NJ,"['Kean University', 'Cumberland County College', 'Mercer County Community College', 'Brookdale Community College', 'Princeton University', 'New Jersey Institute of Technology', 'Rutgers University-Camden', 'The College of New Jersey', 'Rowan College at Burlington County', 'County College of Morris', 'Bergen Community College', 'Raritan Valley Community College', 'Seton Hall University', 'Rowan University', 'Montclair State University', 'Stevens Institute of Technology', 'Drew University', 'William Paterson University of New Jersey', 'Ramapo College of New Jersey', 'Union County College', 'Passaic County Community College', 'Rowan College at Gloucester County', 'Monmouth University', 'New Jersey City University', 'Ocean County College', 'Stockton University', 'Essex County College', 'Centenary College', 'Rider University', 'Georgian Court University', 'Middlesex County College', 'Princeton Theological Seminary', 'Caldwell University', 'Rutgers University-Newark', 'Bloomfield College', 'Thomas Edison State University', 'Camden County College', 'Hudson County Community College', 'Warren County Community College', 'Atlantic Cape Community College', 'Felician University', 'Sussex County Community College', 'New Brunswick Theological Seminary']"
MI,"['Jackson College', 'Lansing Community College', 'Wayne State University', 'Michigan State University', 'University of Michigan-Ann Arbor', 'Andrews University', 'Lawrence Technological University', 'Grand Valley State University', 'Western Michigan University', 'Oakland University', 'Calvin College', 'Michigan Technological University', 'Northwestern Michigan College', 'Bay Mills Community College', 'Central Michigan University', 'Wayne County Community College District', 'Albion College', 'Monroe County Community College', 'Delta College', 'Kalamazoo College', 'Mid Michigan Community College', 'Lake Superior State University', 'Hope College', 'North Central Michigan College', 'Eastern Michigan University', 'Kirtland Community College', 'University of Detroit Mercy', 'Henry Ford College', 'Northern Michigan University', 'Washtenaw Community College', 'Ferris State University', 'Adrian College', 'Mott Community College', 'Kellogg Community College', 'Schoolcraft College', 'West Shore Community College', 'Macomb Community College', 'University of Michigan-Flint', 'Saginaw Valley State University', 'University of Michigan-Dearborn', 'Aquinas College-Grand Rapids', 'Grand Rapids Community College', 'Marygrove College', 'Walsh College of Accountancy and Business Administration', 'Great Lakes Christian College', 'Glen Oaks Community College', 'Lake Michigan College', 'Cornerstone University', 'Siena Heights University', 'Spring Arbor University', 'Kettering University', 'Muskegon Community College', 'Southwestern Michigan College', 'Kalamazoo Valley Community College', 'College for Creative Studies', 'Oakland Community College', 'Alpena Community College', 'Calvin Theological Seminary', 'Alma College', 'St Clair County Community College', 'Concordia University-Ann Arbor', 'Madonna University', 'Rochester College', 'Western Michigan University-Thomas M. Cooley Law School', 'Montcalm Community College', 'Olivet College', 'Grace Bible College']"
FL,"['University of Florida', 'Valencia College', 'University of South Florida-Main Campus', 'Palm Beach State College', 'Nova Southeastern University', 'University of Miami', 'Eastern Florida State College', 'Florida State University', 'Santa Fe College', 'Chipola College', 'Northwest Florida State College', 'University of Central Florida', 'Rollins College', 'Florida Gulf Coast University', 'Barry University', 'St Petersburg College', 'Florida Agricultural and Mechanical University', 'Saint Leo University', 'Florida International University', 'Florida Atlantic University', 'New College of Florida', 'Stetson University', 'University of South Florida-Sarasota-Manatee', 'Florida SouthWestern State College', 'Daytona State College', 'Pensacola State College', 'Tallahassee Community College', 'Florida Coastal School of Law', 'University of North Florida', 'Broward College', 'The University of Tampa', 'Hillsborough Community College', 'Florida State College at Jacksonville', 'Florida Keys Community College', 'Lake-Sumter State College', 'Miami Dade College', 'The University of West Florida', 'Seminole State College of Florida', 'State College of Florida-Manatee-Sarasota', 'St Thomas University', 'College of Central Florida', 'Gulf Coast State College', 'Ave Maria University', 'Lynn University', 'Bethune-Cookman University', 'South Florida State College', 'Polk State College', 'Florida Southern College', 'Keiser University-Ft Lauderdale', 'Full Sail University', 'University of South Florida-St Petersburg', 'Jacksonville University', 'Eckerd College', 'Southeastern University', 'Indian River State College', 'Saint Johns River State College', 'Palm Beach Atlantic University', 'Ringling College of Art and Design', 'North Florida Community College', 'Pasco-Hernando State College', 'Beacon College', 'Hobe Sound Bible College', 'Florida College', 'Trinity Baptist College', 'Florida Gateway College', 'Johnson University Florida', 'Webber International University', 'Adventist University of Health Sciences', 'Warner University']"
AL,"['The University of Alabama', 'Auburn University', 'University of Alabama in Huntsville', 'University of Alabama at Birmingham', 'Columbia Southern University', 'University of South Alabama', 'George C Wallace State Community College-Hanceville', 'Jefferson State Community College', 'Troy University', 'University of North Alabama', 'Birmingham Southern College', 'Northeast Alabama Community College', 'John C Calhoun State Community College', 'Bishop State Community College', 'Alabama Southern Community College', 'Jacksonville State University', 'James H Faulkner State Community College', 'Shelton State Community College', 'Auburn University at Montgomery', 'Huntingdon College', 'Tuskegee University', 'Southern Union State Community College', 'Spring Hill College', 'Faulkner University', 'Samford University', 'University of West Alabama', 'University of Montevallo', 'Gadsden State Community College', 'Miles College', 'Alabama A & M University', 'Northwest-Shoals Community College', 'United States Sports Academy', 'Enterprise State Community College', 'Athens State University', 'Central Alabama Community College', 'Bevill State Community College', 'Jefferson Davis Community College', 'Stillman College', 'Oakwood University', 'George C Wallace State Community College-Dothan', 'Alabama State University', 'George C Wallace State Community College-Selma', 'J F Drake State Community and Technical College', 'Snead State Community College']"
NM,"['New Mexico Junior College', 'Western New Mexico University', 'University of New Mexico-Main Campus', 'New Mexico State University-Main Campus', 'Clovis Community College', 'San Juan College', 'New Mexico Institute of Mining and Technology', 'Central New Mexico Community College', 'Eastern New Mexico University-Main Campus', 'Santa Fe Community College', 'New Mexico State University-Alamogordo', 'New Mexico Highlands University', 'Mesalands Community College', 'University of New Mexico-Los Alamos Campus', 'Northern New Mexico College']"
MO,"['Park University', 'University of Missouri-St Louis', 'Washington University in St Louis', 'Southeast Missouri State University', 'University of Missouri-Columbia', 'Moberly Area Community College', 'Jefferson College', 'Truman State University', 'University of Missouri-Kansas City', 'Calvary Bible College and Theological Seminary', 'Avila University', 'Southwest Baptist University', 'Rockhurst University', 'Missouri State University-Springfield', 'Missouri University of Science and Technology', 'Missouri Valley College', 'Northwest Missouri State University', 'University of Central Missouri', 'St Charles Community College', 'Evangel University', 'Saint Louis University', 'Mineral Area College', 'Westminster College-Fulton', 'Maryville University of Saint Louis', 'Missouri Western State University', 'Culver-Stockton College', 'Cottey College', 'Missouri Southern State University', 'Saint Louis Christian College', 'Ozark Christian College', 'William Jewell College', 'A T Still University of Health Sciences', 'Ozarks Technical Community College', 'Kansas City Art Institute', 'Lincoln University-Jefferson City', 'Harris-Stowe State University', 'Three Rivers Community College-Poplar Bluff', 'Lindenwood University', 'Forest Institute of Professional Psychology', 'Missouri Baptist University', 'Drury University', 'Midwestern Baptist Theological Seminary', 'Fontbonne University', 'St Louis College of Pharmacy', 'East Central College', 'College of the Ozarks', 'Covenant Theological Seminary', 'Stephens College', 'North Central Missouri College', 'William Woods University', 'Crowder College', 'Central Christian College of the Bible', 'Aquinas Institute of Theology']"
NC,"['University of North Carolina at Chapel Hill', 'University of North Carolina at Greensboro', 'University of North Carolina at Charlotte', 'Brevard College', 'University of North Carolina Wilmington', 'Montreat College', 'Duke University', 'Appalachian State University', 'North Carolina State University at Raleigh', 'Wake Forest University', 'Davidson College', 'Catawba College', 'East Carolina University', 'Elon University', 'North Carolina Wesleyan College', 'University of North Carolina at Asheville', 'Sandhills Community College', 'Alamance Community College', 'University of North Carolina at Pembroke', 'Fayetteville State University', 'Central Piedmont Community College', 'Queens University of Charlotte', 'Cape Fear Community College', 'High Point University', 'Wake Technical Community College', 'Winston-Salem State University', 'Campbell University', 'Warren Wilson College', 'Pfeiffer University', 'North Carolina Central University', 'Meredith College', 'Fayetteville Technical Community College', 'Western Carolina University', 'Shaw University', 'Greensboro College', 'Elizabeth City State University', 'University of North Carolina School of the Arts', 'Caldwell Community College and Technical Institute', 'North Carolina A & T State University', 'Craven Community College', 'Lees-McRae College', 'Asheville-Buncombe Technical Community College', 'Stanly Community College', 'Wayne Community College', 'Lenoir Community College', 'Vance-Granville Community College', 'Wingate University', 'Isothermal Community College', 'Southeastern Community College-Whiteville', 'Catawba Valley Community College', 'Johnston Community College', 'Barton College', 'Gardner-Webb University', 'Coastal Carolina Community College', 'Mars Hill University', 'Haywood Community College', 'Guilford Technical Community College', 'Rockingham Community College', 'Robeson Community College', 'Piedmont Community College', 'Central Carolina Community College', 'Mid-Atlantic Christian University', 'Gaston College', 'Guilford College', 'Mitchell Community College', 'Western Piedmont Community College', 'Lenoir-Rhyne University', 'Methodist University', 'Livingstone College', ""Saint Augustine's University"", 'Salem College', 'Halifax Community College', 'Pitt Community College', 'James Sprunt Community College', 'Randolph Community College', 'University of Mount Olive', 'Bennett College', 'College of the Albemarle', 'Cleveland Community College', 'Davidson County Community College', 'Surry Community College', 'St Andrews University', 'Nash Community College', 'William Peace University']"
NY,"['Excelsior College', 'Ithaca College', 'Skidmore College', 'Columbia University in the City of New York', 'Le Moyne College', 'Stony Brook University', 'SUNY at Albany', 'Barnard College', 'Fordham University', 'Cornell University', 'SUNY College at Geneseo', 'Syracuse University', 'SUNY College at Brockport', 'University of Rochester', 'Rochester Institute of Technology', 'CUNY City College', 'State University of New York at New Paltz', 'Rensselaer Polytechnic Institute', 'Marist College', 'CUNY Borough of Manhattan Community College', 'Siena College', 'Hofstra University', 'The New School', 'SUNY College at Cortland', 'Adelphi University', 'SUNY College of Technology at Canton', 'Hamilton College', 'University at Buffalo', 'SUNY at Binghamton', 'SUNY College at Plattsburgh', 'SUNY at Fredonia', 'Touro College', 'CUNY Kingsborough Community College', 'College of Staten Island CUNY', 'CUNY Brooklyn College', 'CUNY Lehman College', 'Onondaga Community College', 'Union College-Schenectady', 'CUNY John Jay College of Criminal Justice', 'SUNY College at Oswego', 'Colgate Rochester Crozer Divinity School', 'St Lawrence University', 'CUNY Bernard M Baruch College', 'Bard College', 'Clarkson University', 'CUNY Queensborough Community College', 'Canisius College', 'CUNY Hunter College', 'SUNY at Purchase College', 'SUNY Buffalo State', 'CUNY Graduate School and University Center', 'Suffolk County Community College', 'Tompkins Cortland Community College', 'Hobart William Smith Colleges', 'CUNY York College', 'CUNY Bronx Community College', 'Nazareth College', 'CUNY Queens College', 'Vassar College', 'St Bonaventure University', 'The College of New Rochelle', 'CUNY New York City College of Technology', 'Colgate University', 'The College of Saint Rose', 'Manhattan College', 'Monroe Community College', 'SUNY College of Environmental Science and Forestry', 'SUNY Oneonta', 'Hartwick College', 'Utica College', 'St. Thomas Aquinas College', 'Alfred University', 'Dutchess Community College', 'Morrisville State College', 'Manhattanville College', 'Clinton Community College', 'SUNY College at Old Westbury', 'CUNY LaGuardia Community College', 'Mount Saint Mary College', 'Yeshiva University', 'Wagner College', 'Sarah Lawrence College', 'New York Law School', 'Pace University-New York', 'Dowling College', ""St John's University-New York"", 'Niagara University', 'CUNY Medgar Evers College', 'SUNY Broome Community College', 'Farmingdale State College', 'Hudson Valley Community College', 'Wells College', 'Erie Community College', 'SUNY Maritime College', 'SUNY College of Technology at Delhi', 'Genesee Community College', 'Ulster County Community College', 'CUNY Hostos Community College', 'United States Merchant Marine Academy', 'Houghton College', 'Iona College', 'Cooper Union for the Advancement of Science and Art', 'SUNY College at Potsdam', 'Mercy College', 'Upstate Medical University', ""St Bernard's School of Theology and Ministry"", 'Cazenovia College', 'Nyack College', 'Albany Law School', 'Brooklyn Law School', 'Corning Community College', ""Saint Joseph's College-New York"", 'Cayuga County Community College', 'Vaughn College of Aeronautics and Technology', 'Saint John Fisher College', 'Keuka College', 'North Country Community College', 'Rockland Community College', 'Jewish Theological Seminary of America', 'The Sage Colleges', ""D'Youville College"", 'Utica School of Commerce', 'SUNY Empire State College', 'Jefferson Community College', 'Trocaire College', 'Medaille College', 'Marymount Manhattan College', 'Molloy College', 'Icahn School of Medicine at Mount Sinai', 'Metropolitan College of New York', 'Union Graduate College', 'Culinary Institute of America', 'Niagara County Community College', 'School of Visual Arts', 'New York Academy of Art', 'Elmira College', 'College of Mount Saint Vincent', 'Technical Career Institutes', 'CUNY School of Law', 'SUNY College of Technology at Alfred', 'New York Medical College', 'Fulton-Montgomery Community College', 'Hilbert College', 'Albany College of Pharmacy and Health Sciences', 'Roberts Wesleyan College', 'Rockefeller University', 'St Francis College', 'SUNY College of Agriculture and Technology at Cobleskill', 'ASA College', 'Bank Street College of Education', 'Maria College of Albany', 'The Juilliard School']"
OH,"['Kenyon College', 'University of Akron Main Campus', 'Oberlin College', 'Clark State Community College', 'Wright State University-Main Campus', 'Ohio State University-Main Campus', 'Cleveland State University', 'Mount Saint Joseph University', 'Youngstown State University', 'University of Cincinnati-Main Campus', 'Hocking College', 'North Central State College', 'Ohio Wesleyan University', 'Edison State Community College', 'Columbus State Community College', 'University of Toledo', 'Otterbein University', 'John Carroll University', 'Kent State University at Kent', 'Wittenberg University', 'University of Dayton', 'Muskingum University', 'Marietta College', 'The College of Wooster', 'Bowling Green State University-Main Campus', 'Miami University-Oxford', 'University of Mount Union', 'Ashland University', 'Sinclair Community College', 'Case Western Reserve University', 'Cedarville University', 'Lorain County Community College', 'Ohio State University-Mansfield Campus', 'University of Rio Grande', 'Xavier University', 'Denison University', 'Central Ohio Technical College', 'Terra State Community College', 'The University of Findlay', 'Owens Community College', 'Ohio Northern University', 'Methodist Theological School in Ohio', 'Capital University', 'United Theological Seminary', 'Walsh University', 'Ursuline College', 'Malone University', 'Baldwin Wallace University', 'Lakeland Community College', 'Zane State College', 'Shawnee State University', 'Pontifical College Josephinum', 'Mercy College of Ohio', 'Heidelberg University', 'Ohio Dominican University', 'Cincinnati State Technical and Community College', 'Lourdes University', 'Bluffton University', 'Franciscan University of Steubenville', 'Kent State University at Ashtabula', 'Northwest State Community College', 'Central State University', 'Mount Vernon Nazarene University', 'Hiram College', 'James A Rhodes State College', 'Kent State University at Stark', 'Cincinnati Christian University', 'Stark State College', 'Cuyahoga Community College District', 'Wilberforce University', 'Franklin University', 'Defiance College', 'Rosedale Bible College', 'Southern State Community College', 'Washington State Community College']"
